id,motivo_de_se_considerar_flex,fonteinfo_flex,motivacao,dificuldade,genero,cor_raca,escolaridade
669,"pois reduzi o consumo de carne por preocupava com o meio ambiente, clima, fatores politicos e econômicos do meu pais, alem de melhorar minha digestibilidade alimentar",amigos,impacto_ambiental,falta de opcao de baixo custo e praticas para cozinhar.,mulher_cis,parda,superior
670,de alguma forma o sabor da carne nao agrada o meu paladar como antes,midias,aversao,"falta de opcões mais em conta de vegetais, legumes etc.",mulher_cis,parda,medio
671,porque nao gosto tanto de carne,midias,etica_animal,nenhuma,mulher_cis,branca,medio
672,por ser flexivel na alimentacao,midias,saude,preparacao dos alimentos (tempo),mulher_cis,amarela,superior
673,sim,meus_pais,aversao,variar nas preparacões dos demais alimentos.,mulher_cis,parda,mestrado
674,"sim, por mais que tenho marcado uma media de 3 vezes na semana , mas ja na metade do mes o consumo e muito reduzido entao fica mais no arroz , feijao e principalmente miojo ou sopa",midias,aversao,preco dos substitutos,mulher_cis,pnr,medio
675,porque reduzi o consumo de carne animal,escola_universidade,saude,"fazer mais de um preparacao em casa, pois somente eu fiz adesao a esse tipo de alimentacao",mulher_cis,parda,superior
676,"pois tenho uma certa consciencia sobre a indústria de animais e seus impactos,e procuro dimini meu consumo o maximo possivel, porem sem eliminar totalmente,por motivos pessoais",midias,impacto_ambiental,falta de opcões ao comer fora de casa,homem_cis,parda,superior
677,"porque cono muito mrnos carne do que ha cinco anos, e a carne nao mr parece tao saborosa quanto antes",midias,saude,nao sei cozinhar muito bem outros pratos somenre com vegetais,mulher_cis,branca,doutorado
678,"porque quando posso, prefiro uma alimentacao maior em proteinas vegetais",midias,etica_animal,a falta de proteina vegetal nas prateleiras,mulher_cis,parda,superior
679,"me importo com os animais suficientemente para acreditar que eles tem sentimentos e merecem o meu respeito acredito que foram criados para glorificar a deus e nao para serem alimento, principalmente quando pensamos na forma como sao tratados dentro e fora de locais de abate, fica parecendo que alguns humanos agem sem alma alem disso, a natureza sofre cada dia mais com as atitudes dos seres humanos que insistem em se utilizar dela sem o menor respeito",midias,etica_animal,"sabores e texturas nunca antes explorados, nao sei muito bem receitas sem carne para fazer alem do custo da alimentacao, dado que nao moro sozinha e dependo financeiramente de terceiros alem e claro do momento econômico da nacao, que faz os alimentos custarem bem mais.",mulher_cis,parda,superior
680,porque a ingestao de carne me deixa indisposta,midias,saude,as relacões familiares,mulher_cis,parda,superior
681,por nao consumir muito carne animal,midias,impacto_ambiental,opcoes,mulher_cis,parda,superior
682,por me preocupar com o avanco do agronegocio,escola_universidade,impacto_ambiental,"impacto cultural. ex.: festas ou comemoracões, comidas tipicas da minha religiao como feijoada e etc.",homem_cis,parda,superior
683,"saude, impacto_ambiental",amigos,saude,opcoes de substitutos,homem_cis,parda,medio
684,"busco ser ovolactovegetariano em algum momento, mas ainda nao cheguei la",midias,etica_animal,depender da comida preparada/escolhida por outras pessoas,homem_cis,branca,medio
685,porque nao como nunca carnes vermelhas e embutidos e apenas eventualmente carnes brancas,midias,etica_animal,falta de proteinas,mulher_cis,branca,doutorado
686,acredito que o consumo de carne na quantidade certa e ideal para manutencao da saude,midias,saude,nenhuma,homem_cis,parda,medio
687,"porque me preocupa a situacao alimentar e ambiental e a utilizacao irracional da agua e da terra para cultivo de graos para os animais, que nem serao alimentos para as pessoas daqui do brasil",amigos,impacto_ambiental,nenhuma,mulher_cis,amarela,doutorado
688,"fui vegetariana por muitos anos ha menos de um ano voltei a comer carnes brancas entao, como meu costume e ser vegetariana, evito carnes em casa como mais fora",meus_pais,etica_animal,praticidade,mulher_cis,parda,mestrado
689,"melhor pra saude, doencas animais, orientacao inspirada",outros,saude,gosto do sabor,mulher_cis,branca,superior
690,"nao me alimento de carnes normalmente, mas como peixe uma vez por mes para regular as bacterias do estômago e intestinos, alem de comer sardinha por conta de seu controle populacional por varios motivos adotei varias dietas, e hoje sou flexitariano para ter uma boa nutricao pessoal (a carne da menos energia que os vegetais) e, mormente, por razões ecologicas e sustentaveis (acredito que o veganismo e o vegetarianismo nao sao realmente sustentaveis, e que sua filosofia e boa e conveniente, mas falha, tendo-a adotado em partes, apos ter sido ja vegetariano e entao vegano)",outros,impacto_ambiental,"dificilmente se encontra opcões nutritivas em restaurantes, e todas elas, boas ou nao, sao inexplicavelmente caras.",homem_cis,preta,medio
691,"porque estou querendo reduzir a quantidade de carne que como, para um dia, talvez, parar de vez",midias,etica_animal,dificuldade de encontrar outros alimentos que gosto para substituir a carne,mulher_cis,parda,superior
692,pela reducao de carne,midias,impacto_ambiental,ja esta reduzido,homem_cis,amarela,medio
693,"porque eu acredito no veganismo filosofica e politicamente, porem nao tenho dinheiro e saude o suficiente para parar com a carne completamente e tambem porque eu sou pobre entao as vezes nao como carne porque nao tenho dinheiro",amigos,etica_animal,financeira,nao_binario,branca,medio
694,"porque ao reduzir o consumo de carnes, a minha qualidade de vida e muito melhor",outros,saude,na verdade eu so precisei ter consciencia do que realmente me adoecia e comecei a diminuir o consumo.,mulher_cis,parda,medio
695,porque consumo somente peixes e embutidos esporadicamente e em hipotese alguma inclui outras carnes,escola_universidade,religiao,"a questao social e a disponibilidade. muitos restaurantes incluem a carne como ingrediente em preparacões que poderiam ser vegetais, como feijao, sopa, risotos, massas. havendo casos em que nao sao mencionados no cardapio, sobretudo deliveries.",mulher_cis,branca,doutorado
696,sustentabilidade e saude,amigos,etica_animal,ter tempo para preparar os substitutos e te-los facil na geladeira,mulher_cis,branca,superior
697,ha 3 anos venho reduzindo o consumo de carne,midias,religiao,procrastinacao e recursos,mulher_cis,pnr,superior
698,"porque a muito tempo nao como carne de boi, frango, embutidos e nao pretendo comer, somente peixe, ovo e outros substitutos",outros,religiao,programas sociais,mulher_cis,branca,medio
699,porque reduzi o consumo de carne nos últimos meses,meus_pais,saude,nenhuma,mulher_cis,parda,medio
700,"porque me preocupo com minha saude, o alto consumo de carne nao faz bem, porem nao consigo ser vegana no momento",midias,saude,valor dos alimentos e dificuldade de achar,mulher_cis,branca,superior
701,"primeiro motivo devido ao sofrimento do gado ao longo da escala de criacao ate o abate, segundo devido as questoes ambientais de efeito estufa e desmatamento, terceiro que comer carne em excesso faz mal a saude, e quarto motivo e que nao consigo deixar de comer carne (na forma de churrasco e bacon), mas penso que reduzir esse consumo ajudara muito nos aspectos citados entao , me considero flexitariano pois dificilmente serei vegana ou vegetariana",essa_pesquisa,etica_animal,"acesso, conhecimento e preco de outras fontes proteicas como o cogumelo shitake.",mulher_cis,parda,doutorado
702,e mais saudavel no sentido que diminui as doencas cardiacas (por causa da gordura animal),outros,saude,controlar a vitamina b12 no meu organismo,homem_cis,branca,mestrado
703,porque como carne (qualquer animal) apenas 2 vezes na semana,escola_universidade,religiao,"nao ter opcoes em restaurantes que nao va alguma coisa de carne, por exemplo, bacon no feijao ou carne seca numa farofa.",mulher_cis,branca,doutorado
704,nao sinto necessidade de comer carne em todas as refeicões,escola_universidade,etica_animal,nenhuma,mulher_cis,branca,mestrado
705,nao gosto de carne,outros,aversao,grande oferta de alimentos com carne. as vezes ficamos sem opcao.,mulher_cis,preta,superior
706,por pensar mais na vida dos animais,escola_universidade,impacto_ambiental,"tento reduzir ao maximo, mas como gosto bastante acabo cedendo as vezes",pnr,branca,superior
707,porque evito comer carne todos os dias da semana,midias,etica_animal,ajustar a quantidade de alimento com a saciedade,mulher_cis,parda,superior
708,porque adquiri a consciencia de que outros alimentos podem substituir a proteina animal,essa_pesquisa,saude,nenhuma,homem_cis,branca,superior
709,porque evito comer certos tipos de carne,midias,impacto_ambiental,"disponibilidade de alternativas a carne de sabor agradavel (e que, de preferencia, nao sejam soja) nos meus locais de alimentacao diarios",homem_cis,parda,medio
710,porque nao consumo mais carne vermelha e esporadicamente como carne branca,outros,saude,opcoes saudaveis em estabelecimentos que comercializam alimentos prontos,mulher_cis,parda,superior
711,"porque tirei da minha dieta mamiferos e aves, exceto ovos e laticinios, e ainda consumo peixes e camarões, nao sendo assim vegetariana",midias,etica_animal,nenhuma,mulher_cis,parda,doutorado
712,"eu era vegetariano ha 2 anos, mas comecei a ter problemas financeiros, entao tive que comecar a dividir minha rotina alimenticia em casa e no ru assim, as vezes que vou para a ufac eu consumo a carne animal e em casa eu consumo as proteinas vegetais",escola_universidade,etica_animal,condicões financeiras,homem_cis,branca,superior
713,"na verdade sempre fui bem restrito ao consumo de carnes como modo de vida mesmo, este termo era desconhecido pra mim ate entao, creio que seja bom para pessoas que gostam de se identificar em grupos, mas pra mim nao faz muita diferenca, nao gostava do termo vegetarianismo ou veganismo pois implica em muitas restricões",amigos,saude,nenhuma,homem_cis,parda,superior
714,"porque nao gosto de carne, tenho do dos animais",outros,etica_animal,reduzir consumo de queijo,mulher_cis,preta,doutorado
715,"carne e caro, da muito trabalho para fazer, legumes sao mais saudaveis e suficientes para uma boa alimentacao",amigos,impacto_ambiental,oferta em lugares que compareco.,homem_cis,parda,superior
716,porque eu entendo que minha forma de me alimentar e viver nao se encaixa completamente ao que se entende por vegetariano e vegano e para mim o flexitariano e o que melhor traduz minha forma de viver e consumir o alimento,midias,saude,nenhuma,mulher_cis,preta,superior
717,porque nao quero precisar repôr a vitamina b12 de forma artifical e possuo galinhas no quintal que fornecem ovos (os quais contem b12),midias,impacto_ambiental,"falta de opcões gostosas, pouco processadas e acessiveis",nao_binario,branca,superior
718,tenho reduzido o consumo de carne drasticamente nao me considero vegetariana porque abro excecões em algumas ocasiões especiais ou especificas tambem nao deixei de comer peixe e frutos do mar,midias,saude,praticidade no dia a dia pra cozinhar e encontrar opcões te refeicões vegetarianas balanceadas ao comer fora de casa (em geral falta proteina ou outro grupo alimentar),mulher_cis,branca,superior
719,por reduzir o consumo de carne e querer ser vegetariana,midias,etica_animal,habito alimentar e cultura,mulher_cis,branca,superior
720,"porque tenho evitado o consumo de carne, sobretudo de gado, de forma consciente, porquestoes ambientais, por criticas ao sistema de criacao e tambem passei a desgostar",outros,impacto_ambiental,encontrar opcoes no supermercado,mulher_cis,branca,doutorado
721,"porque deixei de comer carne vermelha por problemas digestivos e tambem por conta da forma como o animal se tornou um produto e um caminho que qro seguir e nao comer mais qlqr tipo de animal
",midias,etica_animal,valores e conservacao. tbm comer fora algo que substitua a proteina num valor mais baixo.,homem_cis,branca,medio
722,porque nao como muita carne,midias,saude,alternativas saborosas,mulher_cis,branca,superior
723,acho importante pra minha saude na verdade,midias,saude,"minha vontade, pessoas a minha volta e bater proteina do dia (vi que quem possui hipotireoidismo nao pode ingerir muita soja, a qual seria a melhor pra quem vira vegetariano/vegano…)",mulher_cis,branca,medio
724,"pois faco consumo reduzido de carnes e produtos carneos, incluindo em minha alimentacao mais alimentos de origem vegetal",meus_pais,saude,contexto social: presenca de pessoas que fazem questao de carnes nas preparacões e eventos sociais,nao_binario,branca,superior
